target_id,LB_I_3H_4,LB_NI_3H_3,DM_NI_24H_1,LB_NO_0H_2,DM_I_24H_1,LB_NI_24H_1,LB_I_3H_5,LB_NI_3H_2,LB_I_9H_1,LB_I_6H_1,LB_I_48H_1,LB_NO_0H_3,LB_NI_48H_4,LB_NI_24H_2,LB_I_6H_2,LB_I_24H_4,LB_I_9H_2,DM_NI_48H_5,LB_NI_3H_1,DM_I_48H_5,LB_NI_9H_5,LB_NI_6H_5,DM_I_24H_3,DM_NI_24H_3,LB_I_48H_2,LB_NI_48H_5,LB_NI_24H_3,DM_NI_48H_4,LB_I_24H_5,LB_I_6H_3,LB_I_9H_3,LB_NI_9H_4,LB_NI_6H_4,DM_I_48H_4,LB_NO_0H_1,DM_I_24H_2,LB_I_48H_3,DM_NI_24H_2,LB_NI_24H_4,LB_NI_48H_2,LB_I_48H_4,DM_NI_24H_5,DM_I_24H_5,LB_NI_9H_3,LB_NI_6H_3,DM_NI_48H_3,LB_I_6H_4,LB_I_24H_2,LB_I_9H_4,LB_NI_24H_5,LB_NI_48H_3,DM_NI_24H_4,LB_I_48H_5,DM_I_24H_4,DM_I_48H_2,LB_I_3H_1,LB_NI_9H_2,LB_NI_6H_2,LB_I_24H_3,LB_I_6H_5,LB_I_9H_5,DM_NI_48H_2,LB_NO_0H_4,LB_NI_3H_5,DM_NI_48H_1,LB_NI_6H_1,LB_NI_9H_1,DM_I_48H_1,LB_I_3H_2,LB_NI_48H_1,LB_NO_0H_5,LB_I_24H_1,LB_NI_3H_4,LB_I_3H_3
NI_48H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1071569,0.0,1.0,0.0,0.0,1.0,3.0032,1.21879,0.0,1.00191,0.0,0.0,1.01293,0.0,0.0,1.0,1.00198,0.0,2.0,3.0327,1.00431,1.0,0.0,0.0,1.00654,1.0023,5.0,7.0,1.0,1.01186,1.0,0.0,3.00236,1.0,2.00286,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,4.00925,1.00179,3.01181,2.00756,1.0,0.0,1.01631,0.0,1.0,2.0,2.0,0.0,1.00527,1.0,0.0,2.01753,0.0,0.0,2.0,5.0,3.01003,0.0,0.0
DM_I_48H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_1770430,0.0,0.0,0.0,0.0,1.01857,3.02535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01018,1.01627,1.01238,0.0,0.0,3.28316,1.02035,0.0,1.0062,0.0,0.0,0.0,1.02016,0.0,0.0,0.0,2.03468,1.00966,1.01294,1.00802,0.0,0.0,2.05025,0.0,0.0,1.01333,1.00299,0.0,0.0,0.0,0.0,0.0,1.02158,0.0,0.0,1.01201,0.0,0.0,0.0,0.0,0.0,1.02485,0.0,1.01829,2.0353,0.677295,0.0,1.5264,0.0,0.0,0.0,0.0,0.0,0.362653,0.0,2.03325,0.0,0.0,1.01108,0.0
DM_NI_24H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_435634,0.0,1.0,0.0,1.0,2.01096,4.00427,0.0,0.0,1.00191,0.0,0.0,0.0,1.11111,0.0,0.0,1.00198,1.00712,2.0,3.02049,0.0,4.0,0.0,0.0,2.0,2.01819,1.0,8.0862,0.0,0.0,2.01507,1.00191,1.00079,0.0,3.00429,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.01019,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00844,0.0,0.0,0.0,0.0,3.01184,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.00617
NI_48H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_1026445,1.03847,0.0,0.0,1.0,1.00548,0.0,0.0,1.22515,2.03106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02147,0.0,1.00318,1.00431,1.26492,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.00507,2.03171,0.0,4.00315,0.0,1.00143,0.0,0.0,0.0,1.00714,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.04161,2.0,2.00756,0.0,1.00243,0.0,1.00221,0.0,4.0,1.0,1.01207,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0178,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_918582,1.0,1.0,0.0,2.0,0.0,1.42953,0.0,2.69584,2.0,4.0,5.32684,0.0,1.1,0.0,1.33228,0.0,2.28372,1.0,4.72408,4.0,4.79819,1.0,1.0,0.0,1.0023,2.0,9.45277,0.0,2.0,2.0,0.0,5.00569,0.0,1.71674,3.0,0.0,2.65455,2.0,1.49758,1.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.333333,1.16667,3.75,1.0,2.50386,6.70611,0.0,2.0,3.0,0.0,1.0,3.0,0.0,5.71429,3.29107,2.49977,2.0,0.0,0.102926,0.0,2.33264,1.0,1.0,1.3734,4.0,4.34732e-05,0.0
NI_48H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_25671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02888,0.0,1.02089,0.0,1.01734,0.0,0.0,0.0,1.01891,0.0,1.02512,0.0,1.00648,0.0,1.00299,0.0,0.0,2.01699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01829,0.0,0.0,0.0,0.0,1.02205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_9H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_1572711,0.0,1.00437,0.0,1.00637,1.01857,0.0,0.0,0.0,0.0,1.02887,1.01372,0.0,0.0,1.01357,0.0,1.01627,0.0,0.0,1.00744,0.0,0.0,0.0,0.0,1.00186,1.01473,0.0,0.0,0.0,0.0,1.00761,0.0,0.0,0.0,2.30421,1.01914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01243,0.0,0.0,0.0,0.0,1.00758,0.0,1.01201,0.0,0.0,1.01057,1.0137,0.0,2.0497,1.00328,0.0,0.0,0.0,0.0,1.1872,0.0,0.0,0.0,0.0,2.03151,1.01956,0.0,2.0398,0.0,5.047,0.0,0.0
DM_I_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_171458,0.0,0.0,0.0,0.0,1.0,1.5016,0.0,0.0,2.00382,0.0,0.0,1.01293,0.0,2.0,0.0,3.00594,0.0,0.0,1.0109,0.0,1.0,1.0,1.01218,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.01254,5.00393,0.0,3.00429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00179,0.0,0.0,0.0,5.01217,1.01631,0.0,1.0,0.0,1.0,3.01544,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BL_1_CKDL230008524-1A_H5HLYDSX7_L2_2_1618436,1.05764,0.0,0.0,0.0,0.0,0.0,1.04137,0.0,0.0,0.0,2.68855,0.0,0.0,1.0,1.0,1.00198,1.0,1.32243,1.02341,0.0,0.0,1.0,2.50345,0.0,1.0023,0.0,3.0,0.0,1.01705,1.0,0.0,2.00157,0.0,1.00143,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,1.01018,1.0,2.0,0.0,0.0,1.0,1.0,1.50434,1.00179,0.0,0.0,1.00398,0.0,0.0,1.00221,0.0,0.0,1.0,5.02574,1.00527,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
I_9H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_116373,0.0,0.0,0.0,1.00474,1.00907,1.00293,0.0,1.01437,1.00536,0.0,0.0,0.0,0.0,0.0,0.0,2.02136,0.0,1.00474,2.01616,0.0,1.01829,0.0,0.0,0.0,3.0245,0.0,2.0187,0.0,0.0,1.00346,1.00657,3.02171,0.0,0.0,0.0,0.0,2.031,0.0,0.0,1.00621,0.0,0.0,1.006,2.01282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00958,1.01352,1.01211,0.0,1.01298,0.0,0.0,0.0,2.01301,0.0,0.0,1.0092,0.0,0.0,0.0,0.0,0.0,0.0,2.00455,1.01288,1.00263
